split,class_name,class_id,sequence_index,group_id,image,label,source_image,source_label,sha256,phash_hex
train,cup,1,3,cup_g002,images/train/cup_0003.jpg,labels/train/cup_0003.txt,raw_images/cup_yolo_annotated/images/cup_0003.jpg,raw_images/cup_yolo_annotated/labels/cup_0003.txt,bb85c9f9344a5546e00636a93b94269b47af28401d194e3762337533abe31bdb,b06a8fa4444e7f6a
train,cup,1,4,cup_g002,images/train/cup_0004.jpg,labels/train/cup_0004.txt,raw_images/cup_yolo_annotated/images/cup_0004.jpg,raw_images/cup_yolo_annotated/labels/cup_0004.txt,b67a00f7893d56a5236d579ff102295f60f228151644fe4a5d3a6a4855610448,b84a2fa0044e7f7e
train,cup,1,7,cup_g005,images/train/cup_0007.jpg,labels/train/cup_0007.txt,raw_images/cup_yolo_annotated/images/cup_0007.jpg,raw_images/cup_yolo_annotated/labels/cup_0007.txt,b7f8d050d234114d4aef4feaf1915e871f9e3dcff67d628d5bf0b48ee078726c,b0788fa584447e7e
train,cup,1,8,cup_g005,images/train/cup_0008.jpg,labels/train/cup_0008.txt,raw_images/cup_yolo_annotated/images/cup_0008.jpg,raw_images/cup_yolo_annotated/labels/cup_0008.txt,d018bbec9c3f01c38fa19034707c67f9b2244a2e301a8041f63bd6fbbf9a6f31,f078cfa504447c7e
train,cup,1,9,cup_g005,images/train/cup_0009.jpg,labels/train/cup_0009.txt,raw_images/cup_yolo_annotated/images/cup_0009.jpg,raw_images/cup_yolo_annotated/labels/cup_0009.txt,d101b9866a31255b26c0352cb46b58a1e0f2e75a21171b479a57c3744764fcb3,f078cfa444407e7e
train,cup,1,10,cup_g006,images/train/cup_0010.jpg,labels/train/cup_0010.txt,raw_images/cup_yolo_annotated/images/cup_0010.jpg,raw_images/cup_yolo_annotated/labels/cup_0010.txt,5692c8e019ea7f8db385664d7290cd0666712f3d0cba32fdd858f9b72774c3a2,f86a87b4444b7e2a
train,cup,1,11,cup_g006,images/train/cup_0011.jpg,labels/train/cup_0011.txt,raw_images/cup_yolo_annotated/images/cup_0011.jpg,raw_images/cup_yolo_annotated/labels/cup_0011.txt,22cbb141395cb8c531233d4eef89aa7919c54b3dcb4531335b220a33cef290ed,f86a87b4447f7e00
train,cup,1,12,cup_g006,images/train/cup_0012.jpg,labels/train/cup_0012.txt,raw_images/cup_yolo_annotated/images/cup_0012.jpg,raw_images/cup_yolo_annotated/labels/cup_0012.txt,575292e4f5f3b37ad1b980177ac7771290738326c3459ae3d77e04fb30b52432,f86a8fa4446f7e20
train,cup,1,13,cup_g007,images/train/cup_0013.jpg,labels/train/cup_0013.txt,raw_images/cup_yolo_annotated/images/cup_0013.jpg,raw_images/cup_yolo_annotated/labels/cup_0013.txt,5350b7b3f1a1ee5aa3231b6afc0f4336e768274e14797ab5bcde9cfa95b0ffb1,fa4ce59441497e3a
train,cup,1,14,cup_g007,images/train/cup_0014.jpg,labels/train/cup_0014.txt,raw_images/cup_yolo_annotated/images/cup_0014.jpg,raw_images/cup_yolo_annotated/labels/cup_0014.txt,9874fb6f6ab4d6c296e9ed685177e58a57abf9abacc6e52be311899eef00b287,db48e494414c7f3b
train,cup,1,17,cup_g009,images/train/cup_0017.jpg,labels/train/cup_0017.txt,raw_images/cup_yolo_annotated/images/cup_0017.jpg,raw_images/cup_yolo_annotated/labels/cup_0017.txt,8d9576a911dcde48419a209ef3cd275422982c0192579a7ff27d9bdfe01b89f4,b55dc2ab5e50f034
train,cup,1,18,cup_g010,images/train/cup_0018.jpg,labels/train/cup_0018.txt,raw_images/cup_yolo_annotated/images/cup_0018.jpg,raw_images/cup_yolo_annotated/labels/cup_0018.txt,dc1f91afe0494acd1294cb547cf449d61e9734ab5a22965e14ce29578c795036,b752c0be5d556131
train,cup,1,19,cup_g010,images/train/cup_0019.jpg,labels/train/cup_0019.txt,raw_images/cup_yolo_annotated/images/cup_0019.jpg,raw_images/cup_yolo_annotated/labels/cup_0019.txt,cbb5afaa3ce5acf3c48ce509d8cf342b8e1ea0f38210797f6e32711b65f453bb,b742e0be5f50e138
train,cup,1,20,cup_g010,images/train/cup_0020.jpg,labels/train/cup_0020.txt,raw_images/cup_yolo_annotated/images/cup_0020.jpg,raw_images/cup_yolo_annotated/labels/cup_0020.txt,2c77a3037c26acbc86e44d3f948eaf69aa194dd37eb6e6de26d3a02134b9d7d4,9750e8be5f52e034
train,cup,1,21,cup_g010,images/train/cup_0021.jpg,labels/train/cup_0021.txt,raw_images/cup_yolo_annotated/images/cup_0021.jpg,raw_images/cup_yolo_annotated/labels/cup_0021.txt,2540c2227cb9a3ca859b541094e75798725299f95b09a78baad88410247af71e,f750e8bf5f506024
train,cup,1,22,cup_g010,images/train/cup_0022.jpg,labels/train/cup_0022.txt,raw_images/cup_yolo_annotated/images/cup_0022.jpg,raw_images/cup_yolo_annotated/labels/cup_0022.txt,b63e71ccf48dcc45499a86c85b2a34032e758418ae5fab45d66b3505e40b4faa,e752f8be5f506120
train,cup,1,23,cup_g010,images/train/cup_0023.jpg,labels/train/cup_0023.txt,raw_images/cup_yolo_annotated/images/cup_0023.jpg,raw_images/cup_yolo_annotated/labels/cup_0023.txt,2ea22b1543ca6253dd763835d1ec33a2ab732e1ea0c2893c7ac65a9228651c0b,e752f8bd5f526020
train,cup,1,24,cup_g010,images/train/cup_0024.jpg,labels/train/cup_0024.txt,raw_images/cup_yolo_annotated/images/cup_0024.jpg,raw_images/cup_yolo_annotated/labels/cup_0024.txt,d2a4395a2a5e2963e42a070454eff3cd92b4665342b2fb0bff3d4b38f67c8112,d352f8bf5f526020
train,cup,1,25,cup_g010,images/train/cup_0025.jpg,labels/train/cup_0025.txt,raw_images/cup_yolo_annotated/images/cup_0025.jpg,raw_images/cup_yolo_annotated/labels/cup_0025.txt,58fc0e57d2c728be4fdb41eeb27344898ea08aaa9063c75c8569c4a69df44d50,d352f8bd5f526024
train,cup,1,26,cup_g010,images/train/cup_0026.jpg,labels/train/cup_0026.txt,raw_images/cup_yolo_annotated/images/cup_0026.jpg,raw_images/cup_yolo_annotated/labels/cup_0026.txt,dd81544253b466a3c0365fa1b058f6fc0bf13408d95f8741fc1af6c20e2f0632,c352ecbf5f527020
train,cup,1,27,cup_g011,images/train/cup_0027.jpg,labels/train/cup_0027.txt,raw_images/cup_yolo_annotated/images/cup_0027.jpg,raw_images/cup_yolo_annotated/labels/cup_0027.txt,ae5fe1583015e29925c18b8cb74921eee9b7fe44329128e0ffcf2771ab0f4b46,935aeead5a427036
train,cup,1,30,cup_g013,images/train/cup_0030.jpg,labels/train/cup_0030.txt,raw_images/cup_yolo_annotated/images/cup_0030.jpg,raw_images/cup_yolo_annotated/labels/cup_0030.txt,15448124195ab528dd02d7f5d2ca6c9d5263bde53b22ab5d6ffa1040e599e7e8,f250e8bf5b527034
train,cup,1,31,cup_g013,images/train/cup_0031.jpg,labels/train/cup_0031.txt,raw_images/cup_yolo_annotated/images/cup_0031.jpg,raw_images/cup_yolo_annotated/labels/cup_0031.txt,f75c7171ac05db47995828de317fc440c19f1f79893ff074ce0d94e083d156ed,b050e8af5b5bf034
train,cup,1,32,cup_g013,images/train/cup_0032.jpg,labels/train/cup_0032.txt,raw_images/cup_yolo_annotated/images/cup_0032.jpg,raw_images/cup_yolo_annotated/labels/cup_0032.txt,c420b4dc2aaac002d0ae39bbf69169eeb56a7e85ecb866bc0f9bd09d1301eb3e,b050e8af5b5bf034
train,cup,1,33,cup_g013,images/train/cup_0033.jpg,labels/train/cup_0033.txt,raw_images/cup_yolo_annotated/images/cup_0033.jpg,raw_images/cup_yolo_annotated/labels/cup_0033.txt,9f665be294be3e08321054666657752b13176db58bbf243532ec33fcfea1c3d7,b250e8af5b5b7034
train,cup,1,34,cup_g013,images/train/cup_0034.jpg,labels/train/cup_0034.txt,raw_images/cup_yolo_annotated/images/cup_0034.jpg,raw_images/cup_yolo_annotated/labels/cup_0034.txt,353198b92424e6a25ca7410bc1ae964999c1d2a3c0526b20101821bd1d712805,9250e8bf5f5a7034
