epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6959,0.83041,4.64857,1.2671,0,0,0,0,0.49767,4.83569,1.10956,0.000509361,0.000509361,0.000509361
2,15.8869,0.91953,3.47142,1.379,0,0,0,0,0.70559,4.80806,1.2987,0.00105448,0.00105448,0.00105448
3,17.7176,1.11516,2.38119,1.58355,0.5,0.02083,0.0225,0.01575,1.55662,4.70095,2.41246,0.0015886,0.0015886,0.0015886
4,19.5077,1.19258,1.50697,1.6096,0.66667,0.08333,0.06,0.02556,1.56794,4.63026,2.17388,0.00161749,0.00161749,0.00161749
5,21.3524,0.97399,1.13199,1.40182,0.32939,0.5,0.39123,0.29241,1.69832,3.62085,2.23744,0.00160099,0.00160099,0.00160099
6,23.3229,0.90458,1.0141,1.33256,0.09353,0.52083,0.22104,0.14947,1.98965,3.45264,2.68003,0.00158448,0.00158448,0.00158448
7,25.3172,0.85415,0.92384,1.29215,0.53079,0.4375,0.02839,0.00705,2.7569,44.6508,4.14751,0.00156798,0.00156798,0.00156798
8,27.2103,0.82777,0.85581,1.27831,0.83333,0.45833,0.45612,0.21174,2.62018,4.89179,3.65341,0.00155148,0.00155148,0.00155148
9,29.1086,0.82414,0.84074,1.25887,0.72435,0.75,0.79787,0.45696,1.18735,1.61101,1.53558,0.00153497,0.00153497,0.00153497
10,31.0702,0.72119,0.77085,1.15399,0.659,0.96998,0.75564,0.41752,1.11478,4.38027,1.59575,0.00151847,0.00151847,0.00151847
11,32.9611,0.73861,0.74433,1.15736,0.61087,0.875,0.84296,0.58102,0.78387,2.3991,1.21911,0.00150197,0.00150197,0.00150197
12,34.8436,0.73008,0.71055,1.19075,0.85734,0.989,0.9942,0.80782,0.69607,1.09915,1.16194,0.00148546,0.00148546,0.00148546
13,36.7166,0.70226,0.70193,1.14242,0.9115,0.96353,0.99278,0.8293,0.5791,0.80741,1.07542,0.00146896,0.00146896,0.00146896
14,38.6042,0.68787,0.66481,1.11344,0.81121,1,0.97597,0.77318,0.62062,0.91969,1.15288,0.00145246,0.00145246,0.00145246
15,40.4734,0.71627,0.65186,1.14964,0.89313,0.91208,0.96666,0.66829,0.91122,0.84859,1.46188,0.00143595,0.00143595,0.00143595
16,42.3306,0.63442,0.63065,1.10689,0.99684,0.93985,0.995,0.84689,0.62804,0.66187,1.07772,0.00141945,0.00141945,0.00141945
17,44.199,0.6619,0.64519,1.10675,0.98818,1,0.995,0.81351,0.60921,0.58092,1.11133,0.00140295,0.00140295,0.00140295
18,46.0512,0.66924,0.60598,1.12683,0.98164,1,0.995,0.88429,0.52315,0.50787,0.99701,0.00138644,0.00138644,0.00138644
19,47.9605,0.64416,0.6271,1.09498,0.99708,1,0.995,0.83579,0.60045,0.49072,1.09292,0.00136994,0.00136994,0.00136994
20,49.8625,0.64455,0.60228,1.10361,0.9686,0.95257,0.99031,0.79263,0.75529,0.71183,1.16842,0.00135344,0.00135344,0.00135344
21,51.7399,0.64286,0.60198,1.11857,0.91887,1,0.99263,0.80282,0.69541,0.66297,1.13645,0.00133693,0.00133693,0.00133693
22,53.6065,0.60216,0.56785,1.06609,0.98173,0.97217,0.99346,0.86174,0.52367,0.51567,1.01378,0.00132043,0.00132043,0.00132043
23,55.547,0.57809,0.52448,1.06212,0.97657,1,0.9942,0.85335,0.51461,0.50574,1.00522,0.00130393,0.00130393,0.00130393
24,57.3654,0.55551,0.51851,1.03422,0.99562,1,0.995,0.87362,0.48133,0.42737,0.9792,0.00128742,0.00128742,0.00128742
25,59.2119,0.56791,0.52553,1.03591,0.99761,1,0.995,0.87943,0.48042,0.4082,0.95526,0.00127092,0.00127092,0.00127092
26,61.0555,0.57557,0.52395,1.07691,0.99114,1,0.995,0.83766,0.58871,0.43726,1.12447,0.00125442,0.00125442,0.00125442
27,62.9428,0.54607,0.5066,1.04112,0.99518,1,0.995,0.87597,0.50854,0.40885,1.01458,0.00123791,0.00123791,0.00123791
28,64.8019,0.51348,0.48404,1.00739,0.99057,1,0.995,0.88256,0.45759,0.41148,0.96273,0.00122141,0.00122141,0.00122141
29,66.7021,0.51566,0.48215,1.02386,0.9718,0.99899,0.995,0.86889,0.49332,0.43174,0.99065,0.00120491,0.00120491,0.00120491
30,68.5843,0.53278,0.49203,1.03648,0.94056,1,0.995,0.83415,0.73102,0.51435,1.15426,0.0011884,0.0011884,0.0011884
